Time,No. Steps,Total Reward,Episode Length,
0.3872835636138916,871196,1900.300000000003,248
0.5522310733795166,873811,1900.300000000003,248
0.49419522285461426,876374,1900.300000000003,248
0.49897122383117676,878945,1900.300000000003,248
0.5311110019683838,881486,1900.300000000003,248
0.47050023078918457,884083,1900.300000000003,248
0.6470179557800293,886692,1900.300000000003,248
0.49872565269470215,889321,1900.300000000003,248
0.5360345840454102,891826,1900.300000000003,248
0.4449441432952881,894412,1900.300000000003,248
0.4859457015991211,896948,1900.300000000003,248
0.38260388374328613,899483,1900.300000000003,248
0.5269849300384521,902045,1900.300000000003,248
0.5199830532073975,904579,1900.300000000003,248
0.40462160110473633,907166,1900.300000000003,248
0.4589731693267822,909649,1900.300000000003,248
0.4205021858215332,912202,1900.300000000003,248
0.4759032726287842,914755,1900.300000000003,248
0.5309090614318848,917283,1900.300000000003,248
0.4948880672454834,919835,1900.300000000003,248
0.5119781494140625,922339,1900.300000000003,248
0.6040825843811035,924861,1900.300000000003,248
0.6071672439575195,927369,1900.300000000003,248
0.44272589683532715,929959,1900.300000000003,248
0.5901546478271484,932575,1900.300000000003,248
0.4824855327606201,935130,1900.300000000003,248
0.5101723670959473,937687,1900.300000000003,248
0.49259233474731445,940164,1900.300000000003,248
0.48877406120300293,942783,1900.300000000003,248
0.4612901210784912,945316,1900.300000000003,248
0.5743205547332764,947903,1900.300000000003,248
0.47757887840270996,950442,1900.300000000003,248
0.5118381977081299,953016,1900.300000000003,248
0.4678170680999756,955605,1900.300000000003,248
