Time,No. Steps,Total Reward,Episode Length,
0.1081662178,466739,1095.7,171,
0.1536250114,468694,1114.5,151,
0.0980501175,473367,1162,1003,
0.173167944,475210,1122.3,145,
0.1294052601,477073,1122.3,145,
0.1417205334,479032,1122.3,145,
0.1075491905,480866,1122.3,145,
0.3942787647,483085,1121.3,145,
0.3249206543,485008,1121.3,145,
0.2849080563,486835,1121.3,145,
0.1673693657,488734,1114.1,149,
0.1383183002,493974,1198,1003,
0.1711552143,498915,2234,1003,
0.1249790192,501453,1122.3,145,
0.1817336082,503318,1122.3,145,
0.1382017136,505140,1122.3,145,
0.154807806,509742,1193,1003,
0.0250768661,511573,1134.8,145,
0.1136784554,516773,1192,1003,
0.1755912304,518877,1129.7,146,
0.1237559319,520906,1135.8,145,
0.1532504559,522724,1135.8,145,
0.1253778934,524527,1122.3,145,
0.0091576576,526372,1133.8,145,
0.044498682,528181,1133.8,145,
0.4647524357,530040,1132.8,144,
0.2788667679,531850,1121.3,145,
0.1663918495,533717,1133.7,146,
0.0180661678,535493,1134.8,145,
0.0771238804,537456,1114.7,146,
0.2811305523,539700,1132.4,153,
0.1917328835,541471,989,127,
0.1668481827,543273,1112.1,149,
0.0061814785,545123,1124.7,148,
0.0161280632,547403,1124.7,148,
0.0965044498,549396,1112.1,149,
0.1460618973,553947,1098.5,1003,
0.0169143677,555808,1134.8,145,
0.0254039764,557628,1134.8,145,
0.0170207024,559467,1134.8,145,
0.0877213478,564752,1205.5,1003,
0.0171775818,566642,1137.3,145,
0.0180184841,568557,1137.3,145,
0.133159399,570389,1135.8,145,
0.1660993099,575779,1341.5,1003,
0.0187804699,577627,1134.8,145,
0.2270715237,579455,1130.7,147,
0.0851507187,581329,1128.6,149,
0.1098546982,583251,1121.7,147,
0.0171406269,585176,1134.8,145,
0.0117371082,587014,1134.8,145,
0.0189020634,588833,1134.8,145,
0.01821208,590640,1134.8,145,
0.0074603558,592455,1134.8,145,
0.0125117302,594262,1134.8,145,
0.0093097687,596112,1134.8,145,
0.0336265564,597964,1134.8,145,
0.1428375244,599829,1135.8,145,
0.0226414204,602023,1129.9,155,
0.0891509056,604533,1120.7,146,
0.0583014488,606636,1127.6,150,
0.0173299313,608474,1134.8,145,
0.0794899464,610305,1081.7,148,
0.0174055099,612305,1134.8,145,
0.0181252956,614122,1134.8,145,
0.0170564651,615928,1134.8,145,
0.0436236858,617742,1134.8,145,
0.0170814991,619638,1134.8,145,
0.0962221622,624259,1315,1003,
0.0072398186,626093,1134.8,145,
0.1272144318,627913,1135.8,145,
0.0228002071,629762,1137.3,145,
0.0387582779,631545,1134.8,145,
0.0206775665,633403,1134.8,145,
0.0171482563,635229,1134.8,145,
0.0174160004,637052,1134.8,145,
0.0075714588,638871,1134.8,145,
0.037365675,640717,1134.8,145,
0.0113689899,642815,1134.8,145,
0.2859716415,644754,1135.8,145,
0.0211327076,646456,1137.3,145,
0.2196846008,648280,1120.2,159,
0.0170292854,650112,1137.3,145,
0.0173664093,651857,1137.3,145,
0.0181221962,653608,1137.3,145,
0.0076570511,655346,1137.3,145,
0.0163259506,657097,1137.3,145,
0.0437219143,658822,1137.3,145,
0.0170404911,660584,1137.3,145,
0.0063192844,662333,1137.3,145,
0.0070004463,664121,1137.3,145,
0.1603164673,665821,1135.8,145,
0.2260825634,667548,1135.8,145,
0.0225486755,669248,1137.3,145,
0.0067617893,670940,1137.3,145,
0.0155930519,672670,1137.3,145,
0.0224444866,674390,1137.3,145,
0.1838605404,676112,1135.8,145,
0.0175290108,677835,1137.3,145,
0.0235497952,679563,1137.3,145,
0.0152094364,681305,1137.3,145,
0.1729609966,683067,1135.8,145,
0.1303093433,684914,1135.8,145,
0.0181891918,686631,1137.3,145,
0.0882394314,688545,1152.1,149,
0.2191786766,690642,1158.2,147,
0.0368750095,692408,1143.3,146,
0.0228917599,694212,1134.8,145,
0.0984179974,699168,1239.5,1003,
0.16918993,704135,1239.5,1003,
0.1331424713,709252,1226.5,1003,
0.0181782246,711223,1137.3,145,
0.0171041489,712915,1137.3,145,
0.0891463757,717703,1164,1003,
0.1815662384,719656,1126.4,143,
0.1487264633,724853,1320,1003,
0.3128194809,726979,1137.8,145,
0.1854841709,732422,1250.5,1003,
0.0968031883,737894,1250.5,1003,
0.1615169048,739662,1067.8,145,
0.0253958702,741487,1120.3,145,
0.0195040703,743268,1120.3,145,
0.0071897507,745418,1143.3,146,
0.1464345455,747333,1135.8,145,
0.0795068741,752286,1193.5,1003,
0.1112518311,756387,1206.5,1003,
0.0801377296,761347,1239.5,1003,
0.0738930702,766490,1326.5,1003,
0.1672852039,771726,1212.5,1003,
0.0193221569,774131,1143.3,146,
0.0196840763,775999,1143.3,146,
0.0748004913,781294,1345.5,1003,
0.1297345161,784921,1590.1,362,
0.1622068882,790037,1239.5,1003,
0.0715205669,795277,1206.5,1003,
0.17614007,800846,1242.5,1003,
0.0671608448,805779,1242.5,1003,
0.1373383999,811003,1242.5,1003,
0.1813724041,816269,1206.5,1003,
0.153942585,821653,1206.5,1003,
0.171194315,826544,1240.5,1003,
0.085796833,829272,1416.3,231,
0.1174526215,834488,1192.5,1003,
0.0553197861,837423,1416.2,210,
0.0978081226,842641,1206.5,1003,
0.1698532104,847947,1206.5,1003,
0.1326510906,853426,1206.5,1003,
0.1426131725,859201,1212.5,1003,
0.0762803555,864618,1212.5,1003,
0.1438138485,869928,1212.5,1003,
0.1461625099,875358,1170.5,1003,
0.124666214,880766,1170.5,1003,
0.1755115986,885959,1170.5,1003,
0.087854147,891270,1328.5,1003,
0.1249725819,896693,1170.5,1003,
0.0933885574,902032,1170.5,1003,
0.1909790039,907261,1170.5,1003,
0.0916314125,912471,1312.5,1003,
0.0775580406,917743,1227.5,1003,
0.1405265331,922869,1192.5,1003,
0.0985925198,928090,1170.5,1003,
0.2020859718,933485,1195.5,1003,
Time,No. Steps,Total Reward,Episode Length,
0.1649036407,4230,1178.5,1003,
0.2261035442,9460,1170.5,1003,
0.2219789028,14774,1172.5,1003,
0.2660119534,20232,1177.5,1003,
0.1157493591,25935,1232.5,1003,
0.1084172726,31031,1232.5,1003,
0.1059572697,35705,1185.5,1003,
0.1570119858,40366,1185.5,1003,
0.1878545284,45241,1185.5,1003,
0.019613266,48137,1568.4,354,
0.1769459248,52645,1332.5,1003,
0.0176978111,55510,1408.5,427,
0.1392922401,58346,1574,290,
0.0737433434,62858,1231.5,1003,
0.1150555611,65332,1569.1,287,
0.1873986721,70084,1232.5,1003,
0.2921779156,74526,1616,1003,
0.0819823742,76491,1414.9,191,
0.1151769161,79146,1408.2,184,
0.1928665638,81090,1409.2,184,
0.1523418427,85275,1231.5,1003,
0.0175535679,87095,1407.6,199,
0.0199966431,88962,1408.6,201,
0.0988943577,93831,1674,1003,
0.2020835876,98662,1232.5,1003,
0.1874964237,103065,1232.5,1003,
0.0136067867,105705,1408.4,329,
0.1625664234,110186,1724,1003,
0.176302433,114240,1231.5,1003,
0.166241169,119040,1231.5,1003,
0.0460510254,121801,1418.6,250,
0.0150637627,123793,1573,215,
0.1302847862,125953,1407.7,197,
0.2607753277,127862,1408,189,
0.0122935772,129816,1406.7,222,
0.0905177593,134441,1596.5,1003,
0.1765258312,139228,1332.5,1003,
0.1833934784,143913,1332.5,1003,
0.1163752079,145723,1409.1,186,
0.197905302,150432,1332.5,1003,
0.0085101128,152987,1569.8,244,
0.0079362392,155045,1574.5,227,
0.0180644989,156905,1408.1,188,
0.1177318096,158821,1408.8,220,
0.1160333157,160703,1410.2,185,
0.1675488949,162576,1407.2,185,
0.1380975246,164383,1410.2,185,
0.1887624264,166411,1408.9,242,
0.2476978302,168981,1408.3,282,
0.1858277321,171095,1414.4,228,
0.1019716263,173180,1410.2,185,
0.1143915653,174989,1410.2,185,
